"Date","County","Cases"
"4/15/2020","Nantucket",9
"4/15/2020","Norfolk",3122
"4/15/2020","Plymouth",2308
"4/15/2020","Suffolk",6279
"4/15/2020","Worcester",2350
"4/15/2020","Unknown",572
"4/16/2020","Barnstable",550
"4/16/2020","Berkshire",382
"4/16/2020","Bristol",1605
"4/16/2020","Dukes",12
"4/16/2020","Essex",4245
"4/16/2020","Franklin",170
"4/16/2020","Hampden",1985
"4/16/2020","Hampshire",248
"4/16/2020","Middlesex",7206
"4/16/2020","Nantucket",9
"4/16/2020","Norfolk",3342
"4/16/2020","Plymouth",2466
"4/16/2020","Suffolk",6820
"4/16/2020","Worcester",2503
"4/16/2020","Unknown",638
"4/17/2020","Barnstable",573
"4/17/2020","Berkshire",383
"4/17/2020","Bristol",1659
"4/17/2020","Dukes",12
"4/17/2020","Essex",4584
"4/17/2020","Franklin",173
"4/17/2020","Hampden",2134
"4/17/2020","Hampshire",258
"4/17/2020","Middlesex",7744
"4/17/2020","Nantucket",9
"4/17/2020","Norfolk",3499
"4/17/2020","Plymouth",2577
"4/17/2020","Suffolk",7272
"4/17/2020","Worcester",2765
"4/17/2020","Unknown",760
"4/18/2020","Barnstable",590
"4/18/2020","Berkshire",385
"4/18/2020","Bristol",1698
"4/18/2020","Dukes",14
"4/18/2020","Essex",4914
"4/18/2020","Franklin",177
"4/18/2020","Hampden",2254
"4/18/2020","Hampshire",306
"4/18/2020","Middlesex",8297
"4/18/2020","Nantucket",9
"4/18/2020","Norfolk",3659
"4/18/2020","Plymouth",2688
"4/18/2020","Suffolk",7696
"4/18/2020","Worcester",2952
"4/18/2020","Unknown",733
"4/19/2020","Barnstable",632
"4/19/2020","Berkshire",387
"4/19/2020","Bristol",1731
"4/19/2020","Dukes",14
"4/19/2020","Essex",5153
"4/19/2020","Franklin",181
"4/19/2020","Hampden",2337
"4/19/2020","Hampshire",317
"4/19/2020","Middlesex",8737
"4/19/2020","Nantucket",9
"4/19/2020","Norfolk",3789
"4/19/2020","Plymouth",2832
"4/19/2020","Suffolk",8074
"4/19/2020","Worcester",3069
"4/19/2020","Unknown",815
"4/2/2020","Barnstable",283
"4/2/2020","Berkshire",213
"4/2/2020","Bristol",425
"4/2/2020","Dukes",5
"4/2/2020","Essex",1039
"4/2/2020","Franklin",85
"4/2/2020","Hampden",546
"4/2/2020","Hampshire",102
"4/2/2020","Middlesex",1870
"4/2/2020","Nantucket",7
"4/2/2020","Norfolk",938
"4/2/2020","Plymouth",621
"4/2/2020","Suffolk",1896
"4/2/2020","Worcester",667
"4/2/2020","Unknown",270
"4/20/2020","Barnstable",664
"4/20/2020","Berkshire",387
"4/20/2020","Bristol",1779
"4/20/2020","Dukes",14
"4/20/2020","Essex",5296
"4/20/2020","Franklin",187
"4/20/2020","Hampden",2438
"4/20/2020","Hampshire",332
"4/20/2020","Middlesex",9253
"4/20/2020","Nantucket",9
"4/20/2020","Norfolk",3960
"4/20/2020","Plymouth",2976
"4/20/2020","Suffolk",8314
"4/20/2020","Worcester",3179
"4/20/2020","Unknown",855
"4/21/2020","Barnstable",672
"4/21/2020","Berkshire",404
"4/21/2020","Bristol",1852
"4/21/2020","Dukes",14
"4/21/2020","Essex",5521
"4/21/2020","Franklin",192
"4/21/2020","Hampden",2533
"4/21/2020","Hampshire",337
"4/21/2020","Middlesex",9621
"4/21/2020","Nantucket",9
"4/21/2020","Norfolk",4062
"4/21/2020","Plymouth",3043
"4/21/2020","Suffolk",8669
"4/21/2020","Worcester",3341
"4/21/2020","Unknown",929
"4/22/2020","Barnstable",678
"4/22/2020","Berkshire",404
"4/22/2020","Bristol",1908
"4/22/2020","Dukes",14
"4/22/2020","Essex",5783
"4/22/2020","Franklin",196
"4/22/2020","Hampden",2678
"4/22/2020","Hampshire",345
"4/22/2020","Middlesex",10094
"4/22/2020","Nantucket",9
"4/22/2020","Norfolk",4212
"4/22/2020","Plymouth",3253
"4/22/2020","Suffolk",9060
"4/22/2020","Worcester",3456
"4/22/2020","Unknown",854
"4/23/2020","Barnstable",708
"4/23/2020","Berkshire",418
"4/23/2020","Bristol",2181
"4/23/2020","Dukes",14
"4/23/2020","Essex",6219
"4/23/2020","Franklin",203
"4/23/2020","Hampden",2836
"4/23/2020","Hampshire",367
"4/23/2020","Middlesex",10724
"4/23/2020","Nantucket",9
"4/23/2020","Norfolk",4541
"4/23/2020","Plymouth",3529
"4/23/2020","Suffolk",9739
"4/23/2020","Worcester",3798
"4/23/2020","Unknown",737
"4/24/2020","Barnstable",747
"4/24/2020","Berkshire",425
"4/24/2020","Bristol",2697
"4/24/2020","Dukes",15
"4/24/2020","Essex",6841
"4/24/2020","Franklin",217
"4/24/2020","Hampden",3060
"4/24/2020","Hampshire",396
"4/24/2020","Middlesex",11681
"4/24/2020","Nantucket",9
"4/24/2020","Norfolk",4979
"4/24/2020","Plymouth",4160
"4/24/2020","Suffolk",10724
"4/24/2020","Worcester",4227
"4/24/2020","Unknown",791
"4/25/2020","Barnstable",756
"4/25/2020","Berkshire",425
"4/25/2020","Bristol",2829
"4/25/2020","Dukes",15
"4/25/2020","Essex",7212
"4/25/2020","Franklin",225
"4/25/2020","Hampden",3229
"4/25/2020","Hampshire",412
"4/25/2020","Middlesex",12253
"4/25/2020","Nantucket",9
"4/25/2020","Norfolk",5172
"4/25/2020","Plymouth",4380
"4/25/2020","Suffolk",11218
"4/25/2020","Worcester",4460
"4/25/2020","Unknown",753
"4/26/2020","Barnstable",772
"4/26/2020","Berkshire",428
"4/26/2020","Bristol",2923
"4/26/2020","Dukes",15
"4/26/2020","Essex",7489
"4/26/2020","Franklin",226
"4/26/2020","Hampden",3295
"4/26/2020","Hampshire",427
"4/26/2020","Middlesex",12648
"4/26/2020","Nantucket",10
"4/26/2020","Norfolk",5288
"4/26/2020","Plymouth",4495
"4/26/2020","Suffolk",11543
"4/26/2020","Worcester",4572
"4/26/2020","Unknown",807
"4/27/2020","Barnstable",798
"4/27/2020","Berkshire",428
"4/27/2020","Bristol",3068
"4/27/2020","Dukes",15
"4/27/2020","Essex",7708
"4/27/2020","Franklin",231
"4/27/2020","Hampden",3381
"4/27/2020","Hampshire",443
"4/27/2020","Middlesex",12953
"4/27/2020","Nantucket",10
"4/27/2020","Norfolk",5398
"4/27/2020","Plymouth",4607
"4/27/2020","Suffolk",11883
"4/27/2020","Worcester",4744
"4/27/2020","Unknown",795
"4/28/2020","Barnstable",820
"4/28/2020","Berkshire",430
"4/28/2020","Bristol",3270
"4/28/2020","Dukes",15
"4/28/2020","Essex",7972
"4/28/2020","Franklin",237
"4/28/2020","Hampden",3546
"4/28/2020","Hampshire",509
"4/28/2020","Middlesex",13417
"4/28/2020","Nantucket",11
"4/28/2020","Norfolk",5567
"4/28/2020","Plymouth",4744
"4/28/2020","Suffolk",12140
"4/28/2020","Worcester",4999
"4/28/2020","Unknown",625
"4/29/2020","Barnstable",842
"4/29/2020","Berkshire",440
"4/29/2020","Bristol",3429
"4/29/2020","Dukes",16
"4/29/2020","Essex",8380
"4/29/2020","Franklin",252
"4/29/2020","Hampden",3698
"4/29/2020","Hampshire",531
"4/29/2020","Middlesex",13799
"4/29/2020","Nantucket",11
"4/29/2020","Norfolk",5700
"4/29/2020","Plymouth",4871
"4/29/2020","Suffolk",12539
"4/29/2020","Worcester",5300
"4/29/2020","Unknown",457
"4/3/2020","Barnstable",314
"4/3/2020","Berkshire",240
"4/3/2020","Bristol",517
"4/3/2020","Dukes",7
"4/3/2020","Essex",1238
"4/3/2020","Franklin",89
"4/3/2020","Hampden",661
"4/3/2020","Hampshire",114
"4/3/2020","Middlesex",2202
"4/3/2020","Nantucket",9
"4/3/2020","Norfolk",1045
"4/3/2020","Plymouth",745
"4/3/2020","Suffolk",2183
"4/3/2020","Worcester",825
"4/3/2020","Unknown",213
"4/4/2020","Barnstable",330
"4/4/2020","Berkshire",253
"4/4/2020","Bristol",601
"4/4/2020","Dukes",7
"4/4/2020","Essex",1400
"4/4/2020","Franklin",95
"4/4/2020","Hampden",733
"4/4/2020","Hampshire",125
"4/4/2020","Middlesex",2468
"4/4/2020","Nantucket",9
"4/4/2020","Norfolk",1199
"4/4/2020","Plymouth",898
"4/4/2020","Suffolk",2429
"4/4/2020","Worcester",915
"4/4/2020","Unknown",274
"4/5/2020","Barnstable",347
"4/5/2020","Berkshire",258
"4/5/2020","Bristol",659
"4/5/2020","Dukes",8
"4/5/2020","Essex",1506
"4/5/2020","Franklin",100
"4/5/2020","Hampden",768
"4/5/2020","Hampshire",128
"4/5/2020","Middlesex",2632
"4/5/2020","Nantucket",9
"4/5/2020","Norfolk",1271
"4/5/2020","Plymouth",963
"4/5/2020","Suffolk",2658
"4/5/2020","Worcester",978
"4/5/2020","Unknown",215
"4/6/2020","Barnstable",383
"4/6/2020","Berkshire",268
"4/6/2020","Bristol",722
"4/6/2020","Dukes",8
"4/6/2020","Essex",1653
"4/6/2020","Franklin",107
"4/6/2020","Hampden",889
"4/6/2020","Hampshire",147
"4/6/2020","Middlesex",2950
"4/6/2020","Nantucket",9
"4/6/2020","Norfolk",1382
"4/6/2020","Plymouth",1067
"4/6/2020","Suffolk",2929
"4/6/2020","Worcester",1077
"4/6/2020","Unknown",246
"4/7/2020","Barnstable",405
"4/7/2020","Berkshire",278
"4/7/2020","Bristol",768
"4/7/2020","Dukes",9
"4/7/2020","Essex",1841
"4/7/2020","Franklin",118
"4/7/2020","Hampden",997
"4/7/2020","Hampshire",158
"4/7/2020","Middlesex",3187
"4/7/2020","Nantucket",9
"4/7/2020","Norfolk",1592
"4/7/2020","Plymouth",1194
"4/7/2020","Suffolk",3245
"4/7/2020","Worcester",1172
"4/7/2020","Unknown",229
"4/8/2020","Barnstable",423
"4/8/2020","Berkshire",281
"4/8/2020","Bristol",835
"4/8/2020","Dukes",8
"4/8/2020","Essex",2103
"4/8/2020","Franklin",117
"4/8/2020","Hampden",1081
"4/8/2020","Hampshire",164
"4/8/2020","Middlesex",3545
"4/8/2020","Nantucket",9
"4/8/2020","Norfolk",1778
"4/8/2020","Plymouth",1327
"4/8/2020","Suffolk",3600
"4/8/2020","Worcester",1296
"4/8/2020","Unknown",223
"4/9/2020","Barnstable",444
"4/9/2020","Berkshire",304
"4/9/2020","Bristol",994
"4/9/2020","Dukes",9
"4/9/2020","Essex",2336
"4/9/2020","Franklin",128
"4/9/2020","Hampden",1276
"4/9/2020","Hampshire",177
"4/9/2020","Middlesex",4045
"4/9/2020","Nantucket",9
"4/9/2020","Norfolk",2007
"4/9/2020","Plymouth",1507
"4/9/2020","Suffolk",4041
"4/9/2020","Worcester",1461
"4/9/2020","Unknown",203
