Date,County,Cases
4/5/20,Hampden,768
4/5/20,Hampshire,128
4/5/20,Middlesex,2632
4/5/20,Nantucket,9
4/5/20,Norfolk,1271
4/5/20,Plymouth,963
4/5/20,Suffolk,2658
4/5/20,Worcester,978
4/5/20,Unknown,215
4/6/20,Barnstable,383
4/6/20,Berkshire,268
4/6/20,Bristol,722
4/6/20,Dukes,8
4/6/20,Essex,1653
4/6/20,Franklin,107
4/6/20,Hampden,889
4/6/20,Hampshire,147
4/6/20,Middlesex,2950
4/6/20,Nantucket,9
4/6/20,Norfolk,1382
4/6/20,Plymouth,1067
4/6/20,Suffolk,2929
4/6/20,Worcester,1077
4/6/20,Unknown,246
4/7/20,Barnstable,405
4/7/20,Berkshire,278
4/7/20,Bristol,768
4/7/20,Dukes,9
4/7/20,Essex,1841
4/7/20,Franklin,118
4/7/20,Hampden,997
4/7/20,Hampshire,158
4/7/20,Middlesex,3187
4/7/20,Nantucket,9
4/7/20,Norfolk,1592
4/7/20,Plymouth,1194
4/7/20,Suffolk,3245
4/7/20,Worcester,1172
4/7/20,Unknown,229
4/8/20,Barnstable,423
4/8/20,Berkshire,281
4/8/20,Bristol,835
4/8/20,Dukes,8
4/8/20,Essex,2103
4/8/20,Franklin,117
4/8/20,Hampden,1081
4/8/20,Hampshire,164
4/8/20,Middlesex,3545
4/8/20,Nantucket,9
4/8/20,Norfolk,1778
4/8/20,Plymouth,1327
4/8/20,Suffolk,3600
4/8/20,Worcester,1296
4/8/20,Unknown,223
4/9/20,Barnstable,444
4/9/20,Berkshire,304
4/9/20,Bristol,994
4/9/20,Dukes,9
4/9/20,Essex,2336
4/9/20,Franklin,128
4/9/20,Hampden,1276
4/9/20,Hampshire,177
4/9/20,Middlesex,4045
4/9/20,Nantucket,9
4/9/20,Norfolk,2007
4/9/20,Plymouth,1507
4/9/20,Suffolk,4041
4/9/20,Worcester,1461
4/9/20,Unknown,203
4/10/20,Barnstable,464
4/10/20,Berkshire,329
4/10/20,Bristol,1086
4/10/20,Dukes,12
4/10/20,Essex,2670
4/10/20,Franklin,135
4/10/20,Hampden,1394
4/10/20,Hampshire,194
4/10/20,Middlesex,4447
4/10/20,Nantucket,9
4/10/20,Norfolk,2216
4/10/20,Plymouth,1677
4/10/20,Suffolk,4534
4/10/20,Worcester,1678
4/10/20,Unknown,129
4/11/20,Barnstable,480
4/11/20,Berkshire,336
4/11/20,Bristol,1191
4/11/20,Dukes,12
4/11/20,Essex,2896
4/11/20,Franklin,138
4/11/20,Hampden,1545
4/11/20,Hampshire,204
4/11/20,Middlesex,4872
4/11/20,Nantucket,9
4/11/20,Norfolk,2395
4/11/20,Plymouth,1809
4/11/20,Suffolk,4926
4/11/20,Worcester,1822
4/11/20,Unknown,225
4/12/20,Barnstable,501
4/12/20,Berkshire,350
4/12/20,Bristol,1327
4/12/20,Dukes,12
4/12/20,Essex,3170
4/12/20,Franklin,143
4/12/20,Hampden,1647
4/12/20,Hampshire,219
4/12/20,Middlesex,5660
4/12/20,Nantucket,9
4/12/20,Norfolk,2649
4/12/20,Plymouth,2024
4/12/20,Suffolk,5359
4/12/20,Worcester,2032
4/12/20,Unknown,373
